board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_45,compressed_bet_45,full_call_facing_45,compressed_call_facing_45
Kh 4h 6h Qc Ac,2c 6d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001070034042499092,9.960853652771448e-07,3,10,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.99999
Kh 4h 6h Qc Ac,2c 6s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001070034042499092,9.960853652771448e-07,3,10,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.99999
Kh 4h 6h Qc Ac,2c 7c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010738432295825458,1.0013622683601368e-06,5,1,1.0,0.7095180472568701,0.0,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 7d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001082651552623836,1.0013622683601368e-06,5,1,1.0,0.7095180472568701,0.0,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 7h,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010818525687713815,1.0002016915509884e-06,5,1,0.2836232273285436,0.7095180472568701,0.7163767726714564,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 7s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001082651552623836,1.0013622683601368e-06,5,1,1.0,0.7095180472568701,0.0,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 8c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010913514965418237,1.0023842285381214e-06,11,1,1.0,0.8550293018917648,0.0,0.1449706981082352,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 8d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010867582815497073,1.0023842285381214e-06,11,1,1.0,0.8550293018917648,0.0,0.1449706981082352,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 8h,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010974803154097737,1.001223651728973e-06,11,1,0.17488060112451498,0.8550293018917648,0.825119398875485,0.1449706981082352,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 8s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010867582815497071,1.0023842285381214e-06,11,1,1.0,0.8550293018917648,0.0,0.1449706981082352,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 9c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001088694097892723,1.011716918108221e-06,12,9,1.0,0.9999339325891439,0.0,6.606741085611172e-05,0.0,0.9282345585301963
Kh 4h 6h Qc Ac,2c 9d,0,1,3,0.0007371185059990112,0.0004989739020079398,0.0007479397319768941,0.0005050248840432088,12,9,1.0,0.9999339325891439,0.0,6.606741085611172e-05,0.0,0.9282345585301963
Kh 4h 6h Qc Ac,2c 9h,0,1,3,0.0007371185059990112,0.0004989739020079398,0.0007516526786981638,0.0005050248840432088,12,9,1.0,0.9999339325891439,0.0,6.606741085611172e-05,0.0,0.9282345585301963
Kh 4h 6h Qc Ac,2c 9s,0,1,3,0.0007371185059990112,0.0004989739020079398,0.0007479397319768941,0.0005050248840432088,12,9,1.0,0.9999339325891439,0.0,6.606741085611172e-05,0.0,0.9282345585301963
Kh 4h 6h Qc Ac,2c Tc,0,1,3,9.998410252769808e-07,0.0028885331947820134,1.015266866584701e-06,0.0028929423158647162,6,11,1.0,0.9999176006029368,0.0,8.239939706325524e-05,0.9939483691665986,0.11652322995435994
Kh 4h 6h Qc Ac,2c Td,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001080583392576814,1.0007678401386697e-06,6,11,1.0,0.9999176006029368,0.0,8.239939706325524e-05,1.0,0.11652322995435994
Kh 4h 6h Qc Ac,2c Th,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010777391267536103,1.0004683311417918e-06,6,11,1.0,0.9999176006029368,0.0,8.239939706325524e-05,1.0,0.11652322995435994
Kh 4h 6h Qc Ac,2c Ts,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001080583392576814,1.0007678401386697e-06,6,11,1.0,0.9999176006029368,0.0,8.239939706325524e-05,1.0,0.11652322995435994
Kh 4h 6h Qc Ac,2c Jc,0,1,3,9.998410252769808e-07,9.992425741288106e-07,1.0287727640916283e-06,9.935516730001834e-07,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,1.0,0.421263202038205
