board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_14,compressed_bet_14,full_call_facing_14,compressed_call_facing_14,full_bet_29,compressed_bet_29,full_call_facing_29,compressed_call_facing_29
9d 2d Kc Tc 4c,4d Jc,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.798338928644586e-07,1.0089166231075785e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,1.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d Jd,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.795180420928565e-07,1.016094794769554e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,1.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d Jh,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.860132034667263e-07,1.0246284734345048e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,1.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d Js,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.860132034667263e-07,1.0246284734345048e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,1.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d Qc,0,1,5,0.00020740749505100613,9.99230592443818e-07,0.00020422712209037825,1.0172322654905278e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,1.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d Qd,0,1,5,0.00020740749505100613,9.99230592443818e-07,0.00020390996658250447,1.0094615047842968e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,1.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d Qh,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012292841670926702,1.0054063666654388e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,1.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d Qs,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012292841670926702,1.0054063666654388e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,1.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d Kd,0,1,5,0.00020740749505100613,9.99230592443818e-07,0.00019632077030538344,1.0224960088597402e-06,10,1,0.0,6.666666666666667e-06,0.0,0.9989392906548963,1.0,0.99999,1.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,4d Kh,0,1,5,0.00020740749505100613,0.0064016325893638815,0.00019918529828063473,0.006600836619705701,10,1,0.0,6.666666666666667e-06,0.0,0.9989392906548963,1.0,0.99999,1.0,0.0010540426784370587,1.0,0.99999
